"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
AN F312,AIRCRAFT PROPULSION,3,-,3,1,SAYAN DAS,T Th S,4,
AN F314,INTRODUCTION TO FLIGHT,3,-,3,1,JAYAPRAKASH K S,M W F,2,
BIO F215,BIOPHYSICS,3,-,3,1,DEBASHREE B,M W F,9,
,,,,,,Kirtimaan Syal,,,
,Tutorial,,,,,Syeda Sabiha Sultana Lubna,W,1,
BIO F217,"LAB FOR WATER SANITATION &
SOLID WASTE MANAGEMENT",1,2,3,1,P SANKAR GANESH,S,4,
,Practical,,,,,Hemapriya S,T Th,89,
,,,,,,Puja Das,,,
BIO F241,"ECOLOGY & ENVIRONMENTAL
SCIENCE",3,-,3,1,P SANKAR GANESH,M W F,3,
,,,,,,Supratim Ghosh,,,
,Tutorial,,,,,P Sankar Ganesh,S,1,
,,,,,,Supratim Ghosh,,,
BIO F242,"INTRODUCTION TO
BIOINFORMATICS",3,-,3,1,SHUVADEEP MAITY,T Th S,4,
,,,,,,Nishith Gupta,,,
,Tutorial,,,,,Ali Akbar Shoukat Safdari,Th,9,
BIO F243,GENETICS,3,-,3,1,NAGA MOHAN K,M W,2,
,,,,,,Naga Mohan K,T,6,
,Tutorial,,,,,Anne Lohitha Alias Anuhya,Th,6,
BIO F244,INSTRU METHODS OF ANAL,1,3,4,1,Debashree B,F,6,
,Practical,,,,,TRINATH JAMMA,M W,678,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Aishwarya Natarajan,,,
,,,,,,Ashna Fathima,,,
,,,,,,Gireesha T Mohannath,,,
,,,,,,Lakesh Kumar Sahoo,,,
,,,,,,Murali Krishna Ramgopal,,,
,,,,,,Raunak Sharma,,,
,,,,,,Sridev Mohapatra,,,
BIO F266,STUDY PROJECT,-,-,3,1,SHUVADEEP MAITY,,,
BIO F341,DEVELOPMENTAL BIOLOGY,3,-,3,1,VIVEK SHARMA,M W F,4,
,,,,,,K Pranav Narayan,,,
,Tutorial,,,,,Vivek Sharma,F,8,
BIO F342,IMMUNOLOGY,3,-,3,1,VIDYA RAJESH,T Th S,3,
,,,,,,Trinath Jamma,,,
,Tutorial,,,,,Trinath Jamma,F,1,
,,,,,,Vidya Rajesh,,,
BIO F366,LABORATORY PROJECT,-,-,3,1,SHUVADEEP MAITY,,,
BIO F367,LABORATORY PROJECT,-,-,3,1,SHUVADEEP MAITY,,,
BIO F376,DESIGN PROJECT,-,-,3,1,SHUVADEEP MAITY,,,
BIO F377,DESIGN PROJECT,-,-,3,1,SHUVADEEP MAITY,,,
BIO F417,BIOMOLECULAR MODELING,3,-,3,1,DEBASHREE B,T Th S,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
BIO F451,BIOPROCESS TECHNOLOGY,3,-,3,1,SUPRATIM GHOSH,M W F,2,
,,,,,,Kirtimaan Syal,,,
BIO G523,ADV & APPLIED MICROBIO,3,2,5,1,RUCHI JAIN DEY,M W F,4,
,,,,,,Jayati Ray Dutta,,,Unnamed: 9
,Practical,,,,,Ruchi Jain Dey,M W,78,
,,,,,,Anannya Dhanwal,,,
,,,,,,Naresh Patnaik,,,
BIO G542,"ADVANCED CELL AND
MOLECULAR BIOLOGY",-,-,5,1,PIYUSH KHANDELIA,M W F,9,
,,,,,,Vidya Rajesh,,,
,Practical,,,,,Piyush Khandelia,T Th,23,
,,,,,,Bakhya Shree Gb,,,
,,,,,,Jayasree P J,,,
BIO G570,"RECENT DEVELOPMENTS IN
BIOLOGY",1,-,1,1,PRAGYA KOMAL,M,3,
BIO G643,PLANT BIOTECHNOLOGY,3,2,5,1,SRIDEV MOHAPATRA,T Th S,1 4,
,,,,,,Gireesha T Mohannath,,,
,Practical,,,,,Sridev Mohapatra,Th F,78,
,,,,,,Abirami T S,,,
,,,,,,Gireesha T Mohannath,,,
,,,,,,Nikhil P T,,,
BIOT F346,GENOMICS,3,-,3,1,AMARTYA SANYAL,M W F,1 2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
BITS C790T,INDEPENDENT STUDY,-,-,2,1,V V KRISHNA VENUGANTI,,,
BITS C791T,TEACHING PRACTICE I,-,-,1,1,V V KRISHNA VENUGANTI,,,
BITS C797T,PHD SEMINAR,-,-,1,1,V V KRISHNA VENUGANTI,,,
BITS C799T,PHD THESIS,-,-,10,1,V V KRISHNA VENUGANTI,,,
BITS E593,READING COURSE I,-,-,5,1,V V KRISHNA VENUGANTI,,,
BITS E594,READING COURSE II,-,-,5,1,V V KRISHNA VENUGANTI,,,
BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,K SRINIVASA RAJU,M,45,
,,,,,,Vogeti Rishith Kumar,,,
BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,V V KRISHNA VENUGANTI,,,
BITS F214,SCIENCE TECH & MODERNITY,3,-,3,1,BISWANATH DASH,M W F,8,
